#{"t_start": 1760794564.6819851, "env_id": "None"}
r,l,t
-33598.191179,4000,16.451343
-33383.530837,4000,41.514223
-6654.751401,4000,67.603033
-1668.321299,4000,92.818385
-1906.339224,4000,118.349317
-1119.831973,4000,143.450342
-2591.411237,4000,168.239059
-1410.208104,4000,193.340177
-2621.10679,4000,218.170356
-1386.759983,4000,243.082978
-1550.954388,4000,267.88919
-1762.945674,4000,293.248807
-1318.28042,4000,318.781786
-1826.48981,4000,343.526474
-1651.567483,4000,368.374519
-1002.737398,4000,393.355342
-1412.848711,4000,418.082873
-1409.925382,4000,443.137984
-1762.514081,4000,467.581458
-1278.200128,4000,492.629501
-2477.718888,4000,518.037944
-1281.838179,4000,544.355215
-1030.371573,4000,570.420561
-2169.149223,4000,597.123402
-1228.61285,4000,623.291011
-1218.204405,4000,649.403916
-1161.562926,4000,675.930071
-1530.05101,4000,701.336802
-1711.315436,4000,727.108382
-1883.107605,4000,753.551074
-1471.76966,4000,780.206159
-2624.691275,4000,806.841525
-1896.568269,4000,833.489364
-1178.547655,4000,859.87152
-1347.908628,4000,886.505278
-1126.415743,4000,912.981442
-1278.865289,4000,939.640978
-1341.686061,4000,965.814583
-1756.828867,4000,992.551398
-2172.571282,4000,1019.488545
-1222.884081,4000,1045.70479
-1470.345481,4000,1075.791224
-1573.102494,4000,1105.946535
-2794.432408,4000,1133.414033
-2536.872378,4000,1160.76631
-2453.029541,4000,1187.800617
-1498.02737,4000,1214.729874
-1550.677312,4000,1241.298144
-1756.451459,4000,1268.14706
-1562.015587,4000,1295.317878
-1560.266193,4000,1322.200801
-1185.518459,4000,1349.120921
-1005.845944,4000,1375.991785
-1407.96584,4000,1402.340181
-1574.352284,4000,1429.472499
-1468.673955,4000,1456.333873
-1388.013554,4000,1485.006376
-1272.243075,4000,1512.338742
-1238.558141,4000,1540.211311
-1027.768107,4000,1568.543371
-1154.041479,4000,1596.767441
-1683.779358,4000,1626.24363
-1612.925041,4000,1656.149869
-1105.964028,4000,1686.56613
-1628.3372,4000,1716.796918
-1833.834444,4000,1746.643948
-2100.883532,4000,1777.187622
-2122.079329,4000,1807.160395
-1430.034089,4000,1837.942351
-1776.436132,4000,1873.811401
-1223.782408,4000,1909.640252
-1436.37148,4000,1941.860798
-1204.923938,4000,1973.826278
-1490.060038,4000,2005.707139
-1726.529324,4000,2036.984221
-1360.251443,4000,2067.961477
-1192.218249,4000,2100.073974
-1728.976693,4000,2131.920803
-1025.141714,4000,2165.075811
-1343.314527,4000,2197.99776
-1598.364735,4000,2230.237757
-1534.86329,4000,2262.391656
-1857.635584,4000,2294.949403
-2048.087414,4000,2327.173816
-1842.909399,4000,2360.439516
-1985.507214,4000,2393.953383
-2393.43056,4000,2426.621394
-1701.083545,4000,2460.511399
-3523.398581,4000,2494.556212
-2563.47618,4000,2526.655557
-3448.565256,4000,2557.54197
-2220.419604,4000,2588.206621
-2425.840317,4000,2619.080707
-3341.511135,4000,2649.600389
-3018.596679,4000,2680.175331
-3564.102816,4000,2710.665154
-3622.364683,4000,2741.363482
-4528.249186,4000,2771.998103
-9109.521773,4000,2802.516021
-7965.444852,4000,2832.535464
